Id,saleprice
2658,142734.64374350867
2718,165541.3066385264
2414,208205.15031804462
1989,129727.8143429257
625,185840.73499507352
333,89509.92179747862
1327,103720.30590635954
858,141606.10878526853
95,185431.62972935557
1568,169424.35370738918
2482,150538.65479844503
1364,132149.49539540114
2584,152522.40122640363
818,262081.98401911304
2673,148591.60532307051
2089,115368.96734997693
1297,157074.976463479
790,124796.22127753375
2616,201627.9991115525
720,204392.64484658645
222,130623.01279199126
557,127510.61970680908
1148,179353.12542489535
2766,176616.89951755566
534,182906.96274336084
1452,114663.54055010572
630,137482.65231560447
2648,129673.30285345102
125,152101.40792928103
1904,52768.23188446289
1670,104329.5226990471
756,107178.7834831889
717,209289.96916809518
1032,163794.9156741164
852,212470.14882721938
1731,171285.11491535837
2639,130982.97144028175
2071,59989.943682576384
1267,112334.21483350628
1851,212598.24164552512
567,155756.4637096898
2439,210366.39266722457
1898,151272.06990883037
647,167119.34812965256
2256,217114.1329173819
979,88824.62404462519
1444,228026.4249652284
2485,116595.3788209577
157,118518.26009761562
88,131498.5649873768
2003,110167.4908654523
186,203889.59408756963
1425,240065.49887998635
2695,129211.78088039579
738,117406.11696685427
395,144990.04501531535
1353,170825.69984532392
1878,153316.8451698237
390,168145.05227411306
1456,240585.45172240087
1103,329665.97391467646
1387,152941.79886247133
2070,154999.43362524651
1199,174188.01811690078
2479,182731.44141808458
501,302737.1624781687
2362,92753.48417899145
1718,231188.5401445474
2188,81536.74129190328
1483,152301.69200041
2557,89358.00335998517
437,352271.0383646312
2224,214347.60597235523
1628,177402.8995245525
397,135768.79840222714
587,204264.01178017445
971,162479.39677481068
2611,157142.7383742833
1887,91281.03823524824
2399,378034.2318960193
2148,205227.69326015102
304,154467.99789670404
1997,137969.29555868974
2817,132182.48714451224
1431,197982.10996656126
427,351719.76756970375
263,116113.45853195462
598,192352.0776173935
2895,251882.17357530532
687,154623.91736985807
1822,128762.04887420079
2191,116756.9554174511
179,131420.45244864118
1009,265571.9687424628
2010,129686.51228157774
1991,143956.6846725153
1411,168544.79931992313
1721,237247.05017185948
1144,196691.39985605527
593,218857.17296822445
575,288225.0205439459
1249,177726.3137747939
1604,124710.82467302425
1064,484014.2861483354
1923,166150.13777723178
1988,98671.9078504458
2325,171220.04971213097
114,202428.58731343906
2700,188693.1420331485
217,132381.77293366616
343,196615.62844157804
386,236248.77833227866
2005,118340.78397828952
2908,130182.60047296228
1814,239502.862259969
2446,452402.4985227338
208,136672.22206846418
1679,104527.08602649209
822,314748.0435153346
6,184364.43718189903
1781,397815.142565063
2397,306462.2688557133
2340,343057.0398753388
1618,159608.19955584977
2843,121217.90702750577
1061,378192.3355725687
2786,116617.5392054412
1935,133025.8658516814
1341,128999.77520888782
521,260578.95816422522
2136,138592.015050637
996,199548.00284642304
227,141584.49285300102
135,172778.1048629606
1167,157384.4246127938
294,248087.979562609
1776,206217.48343142527
540,177801.97598961156
1717,227780.47051401756
2303,119338.37001927056
116,191057.71537581348
127,126660.02593122565
1371,142242.70077374423
1014,197096.46345477793
1507,105612.7759896258
702,138676.48928313598
750,153714.5326589461
261,150008.94930256903
1559,76285.21570797302
577,229254.6637665634
2812,202885.49544250802
2080,156573.31464913787
1368,118285.21713178512
2376,125965.52299794614
659,114859.39950770636
1235,138732.47251742677
332,73672.7089751832
1917,149081.37237859075
2094,229686.54848976072
1460,266911.09862794325
1471,208997.5199886442
1509,128443.17091452176
1922,130028.27828333266
433,469172.4109999819
460,283583.8390791586
1116,239370.0038985909
1137,170233.17182638764
53,155096.44846007216
2354,267807.3265324443
1475,199452.71621363648
1761,470608.3612044818
842,144661.80916860435
2739,178605.79452518476
2509,150951.33553768095
1007,205746.20285517693
2610,176305.21836769587
1952,68553.78586821402
2719,175077.4742379334
2921,72914.18255188239
1966,165036.31311891237
292,125574.4660629488
1204,199459.1720494534
1829,227398.03772657202
