Id,saleprice
2658,136912.3111835737
2718,159111.81181805502
2414,207008.4740668163
1989,127515.47772747019
625,184975.19040913883
333,91436.10803176482
1327,106939.4204137058
858,147808.482365454
95,177225.05168511943
1568,171199.8381170776
2482,142949.17652729555
1364,128209.32411912744
2584,151093.28452545352
818,261703.3406596231
2673,146421.8046376756
2089,108194.03074803416
1297,152219.09856130742
790,125123.53013000946
2616,199383.16553921654
720,203449.64872521043
222,128952.34484198104
557,130895.34426578032
1148,170647.8522804012
2766,187460.43341713765
534,181961.66000596344
1452,115972.1112049753
630,131989.23743265192
2648,128760.1225861537
125,156453.19249480226
1904,66324.73551001513
1670,101868.30853521252
756,110807.51510790495
717,194815.46271040372
1032,166511.21555795416
852,211600.94594103092
1731,167348.6333204135
2639,126638.19856144374
2071,57463.21734484032
1267,110022.67664706738
1851,217746.91838582951
567,148597.66164154225
2439,206667.1052553307
1898,154781.23148416716
647,148656.10850010108
2256,209353.1165383923
979,94202.49909357638
1444,225981.0629983565
2485,115064.99743822365
157,119960.33353160211
88,130797.73452337823
2003,108016.34575316956
186,207592.47448661726
1425,242254.47755846495
2695,124884.2934975432
738,108295.01294408238
395,145178.24877459795
1353,171066.5675527926
1878,152964.86026489016
390,166089.77311473023
1456,242841.97448139646
1103,333923.9223546735
1387,144263.01539982413
2070,150397.32759717107
1199,171266.65575416313
2479,182018.33129898083
501,307511.26627436996
2362,98108.20576474132
1718,222002.667602029
2188,87165.24734115513
1483,142785.9863393756
2557,94267.19567771206
437,357887.0882260241
2224,217467.38898459813
1628,175528.2328706139
397,134022.5486066102
587,205366.95896925114
971,170310.9780841429
2611,147121.88278194232
1887,97671.12651843239
2399,385338.04157947836
2148,203912.60003114355
304,147160.90884041935
1997,141414.79534592904
2817,128579.41231427321
1431,198913.95469769114
427,353736.97104771755
263,119028.8939681795
598,194175.56948074096
2895,271906.01126273395
687,155264.31097928336
1822,126632.46713705134
2191,112981.77686223721
179,139131.74085064296
1009,262439.32670382416
2010,133857.44991497503
1991,146937.95213316256
1411,164534.15960470654
1721,225237.02402671133
1144,196155.80101370282
593,216985.45164433436
575,283926.97204999847
1249,176355.64350398796
1604,125650.41385445811
1064,496197.47915310675
1923,164261.31519074205
1988,106050.09384315308
2325,166937.26512798632
114,206415.95014821622
2700,184889.37829726958
217,127784.10421888741
343,194011.55630525405
386,237850.55069408286
2005,120094.44520382702
2908,139586.87571810273
1814,240248.75130390003
2446,463006.88290495455
208,127131.41820568214
1679,117405.39321069256
822,319646.3428417172
6,179978.96008294364
1781,403877.2938148137
2397,313555.4069167474
2340,342975.1045475112
1618,154934.1474653365
2843,89006.82996353888
1061,381305.5226532778
2786,119757.75289302797
1935,131467.06564778445
1341,127464.75183230468
521,265160.6836884998
2136,141304.94291636348
996,198854.20355959737
227,138328.7698110013
135,170170.42295978547
1167,153452.83235922427
294,246256.37836144638
1776,210309.64367337784
540,178949.8463222138
1717,219257.32825335654
2303,119261.55273478155
116,191029.78643473695
127,130368.41344982914
1371,141535.6027320803
1014,195190.20786194957
1507,119780.16683830207
702,129155.04777539441
750,161149.39475803272
261,144877.18860029703
1559,77982.97710099962
577,229797.4259380998
2812,201770.7925914394
2080,151745.49552450658
1368,123484.57542693164
2376,128164.61873212885
659,110916.84837849996
1235,134078.9336134606
332,84905.68604091041
1917,147228.72756326926
2094,228770.36580893426
1460,265515.7906217794
1471,210796.72022627442
1509,127246.80589744812
1922,125906.3592183933
433,477190.362400355
460,274659.191881667
1116,249126.89167179287
1137,172389.90276738504
53,157739.25784046933
2354,273949.8600845665
1475,201303.15003283953
1761,476285.95476229663
842,148283.71498769353
2739,175309.59752052955
2509,144255.54352875976
1007,206769.5961907486
2610,172821.74613532334
